Arquivo, tamanho, tempo
File1.in, 1, 0.000004
File1.in, 1, 0.000004
File1.in, 1, 0.000004
File1.in, 1, 0.000002
File1.in, 1, 0.000002
File2.in, 1024, 0.000007
File2.in, 1024, 0.000007
File2.in, 1024, 0.000012
File2.in, 1024, 0.000011
File2.in, 1024, 0.000014
File3.in, 1048576, 0.007927
File3.in, 1048576, 0.006744
File3.in, 1048576, 0.008523
File3.in, 1048576, 0.011875
File3.in, 1048576, 0.007055
File4.in, 1073741824, 10.964596
File4.in, 1073741824, 10.317921
File4.in, 1073741824, 11.326258
File4.in, 1073741824, 11.907542
File4.in, 1073741824, 12.040184
