Arquivo, tamanho, tempo
File1.in, 1, 0.000006
File1.in, 1, 0.000003
File1.in, 1, 0.000002
File1.in, 1, 0.000002
File1.in, 1, 0.000001
File2.in, 1024, 0.000008
File2.in, 1024, 0.000008
File2.in, 1024, 0.000009
File2.in, 1024, 0.000008
File2.in, 1024, 0.000009
File3.in, 1048576, 0.006591
File3.in, 1048576, 0.006569
File3.in, 1048576, 0.006631
File3.in, 1048576, 0.006604
File3.in, 1048576, 0.006648
File4.in, 1073741824, 18.526081
File4.in, 1073741824, 19.235895
File4.in, 1073741824, 18.879387
File4.in, 1073741824, 12.466657
File4.in, 1073741824, 12.484309
