Arquivo, tamanho, tempo
File1.in, 1, 0.000020
File1.in, 1, 0.000008
File1.in, 1, 0.000007
File1.in, 1, 0.000007
File1.in, 1, 0.000007
File2.in, 1024, 0.000027
File2.in, 1024, 0.000027
File2.in, 1024, 0.000027
File2.in, 1024, 0.000013
File2.in, 1024, 0.000013
File3.in, 1048576, 0.011495
File3.in, 1048576, 0.010901
File3.in, 1048576, 0.010923
File3.in, 1048576, 0.010905
File3.in, 1048576, 0.010952
File4.in, 1073741824, 13.528697
File4.in, 1073741824, 13.928591
File4.in, 1073741824, 14.963587
File4.in, 1073741824, 14.813247
File4.in, 1073741824, 14.641518
