Arquivo, tamanho, tempo
File1.in, 1, 0.000017
File1.in, 1, 0.000004
File1.in, 1, 0.000004
File1.in, 1, 0.000003
File1.in, 1, 0.000003
File2.in, 1024, 0.001722
File2.in, 1024, 0.001674
File2.in, 1024, 0.001616
File2.in, 1024, 0.001687
File2.in, 1024, 0.001594
File3.in, 1048576, 1.709634
File3.in, 1048576, 1.703008
File3.in, 1048576, 1.739088
File3.in, 1048576, 1.703459
File3.in, 1048576, 1.749722
File4.in, 1073741824, 1810.390137
File4.in, 1073741824, 1812.207275
File4.in, 1073741824, 1808.948486
File4.in, 1073741824, 1812.555542
File4.in, 1073741824, 2098.266846
