Arquivo, tamanho, tempo
File1.in, 1, 0.000004
File1.in, 1, 0.000001
File1.in, 1, 0.000003
File1.in, 1, 0.000003
File1.in, 1, 0.000002
File2.in, 1024, 0.000009
File2.in, 1024, 0.000009
File2.in, 1024, 0.000009
File2.in, 1024, 0.000009
File2.in, 1024, 0.000009
File3.in, 1048576, 0.008857
File3.in, 1048576, 0.003300
File3.in, 1048576, 0.003319
File3.in, 1048576, 0.003279
File3.in, 1048576, 0.003299
File4.in, 1073741824, 3.317718
File4.in, 1073741824, 3.371221
File4.in, 1073741824, 3.387286
File4.in, 1073741824, 3.342967
File4.in, 1073741824, 3.344739
