Arquivo, tamanho, tempo
File1.in, 1, 0.000009
File1.in, 1, 0.000001
File1.in, 1, 0.000001
File1.in, 1, 0.000002
File1.in, 1, 0.000002
File2.in, 1024, 0.000009
File2.in, 1024, 0.000007
File2.in, 1024, 0.000008
File2.in, 1024, 0.000008
File2.in, 1024, 0.000007
File3.in, 1048576, 0.005827
File3.in, 1048576, 0.005597
File3.in, 1048576, 0.005633
File3.in, 1048576, 0.005603
File3.in, 1048576, 0.005609
File4.in, 1073741824, 5.728050
File4.in, 1073741824, 5.740124
File4.in, 1073741824, 5.712723
File4.in, 1073741824, 5.740766
File4.in, 1073741824, 5.728002
