Arquivo, tamanho, tempo
File1.in, 1, 0.000006
File1.in, 1, 0.000005
File1.in, 1, 0.000004
File1.in, 1, 0.000004
File1.in, 1, 0.000004
File2.in, 1024, 0.001140
File2.in, 1024, 0.001078
File2.in, 1024, 0.001117
File2.in, 1024, 0.001079
File2.in, 1024, 0.001090
File3.in, 1048576, 1.028642
File3.in, 1048576, 1.031890
File3.in, 1048576, 1.028174
File3.in, 1048576, 1.027463
File3.in, 1048576, 1.029689
File4.in, 1073741824, 1055.917114
File4.in, 1073741824, 1057.053223
File4.in, 1073741824, 1057.077515
File4.in, 1073741824, 1057.104370
File4.in, 1073741824, 1055.457275
