Arquivo, tamanho, tempo
File1.in, 1, 0.000003
File1.in, 1, 0.000002
File1.in, 1, 0.000002
File1.in, 1, 0.000001
File1.in, 1, 0.000001
File2.in, 1024, 0.000007
File2.in, 1024, 0.000008
File2.in, 1024, 0.000007
File2.in, 1024, 0.000007
File2.in, 1024, 0.000008
File3.in, 1048576, 0.007587
File3.in, 1048576, 0.003174
File3.in, 1048576, 0.003202
File3.in, 1048576, 0.003346
File3.in, 1048576, 0.003287
File4.in, 1073741824, 3.150699
File4.in, 1073741824, 3.128483
File4.in, 1073741824, 3.118588
File4.in, 1073741824, 3.102125
File4.in, 1073741824, 3.130954
