Arquivo, tamanho, tempo
File1.in, 1, 0.000004
File1.in, 1, 0.000003
File1.in, 1, 0.000004
File1.in, 1, 0.000003
File1.in, 1, 0.000004
File2.in, 1024, 0.001679
File2.in, 1024, 0.001761
File2.in, 1024, 0.001826
File2.in, 1024, 0.001900
File2.in, 1024, 0.001748
File3.in, 1048576, 0.710552
File3.in, 1048576, 0.692580
File3.in, 1048576, 0.694606
File3.in, 1048576, 0.701365
File3.in, 1048576, 0.687507
File4.in, 1073741824, 572.664185
File4.in, 1073741824, 478.668732
File4.in, 1073741824, 495.123260
File4.in, 1073741824, 466.753906
File4.in, 1073741824, 467.731415
