Arquivo, tamanho, tempo
File1.in, 1, 0.000008
File1.in, 1, 0.000002
File1.in, 1, 0.000001
File1.in, 1, 0.000001
File1.in, 1, 0.000001
File2.in, 1024, 0.000007
File2.in, 1024, 0.000007
File2.in, 1024, 0.000007
File2.in, 1024, 0.000007
File2.in, 1024, 0.000007
File3.in, 1048576, 0.006438
File3.in, 1048576, 0.005219
File3.in, 1048576, 0.006028
File3.in, 1048576, 0.006075
File3.in, 1048576, 0.005480
File4.in, 1073741824, 5.469897
File4.in, 1073741824, 5.405623
File4.in, 1073741824, 5.393220
File4.in, 1073741824, 5.428999
File4.in, 1073741824, 5.592522
