Arquivo, tamanho, tempo
File1.in, 1, 0.000002
File1.in, 1, 0.000002
File1.in, 1, 0.000002
File1.in, 1, 0.000001
File1.in, 1, 0.000002
File2.in, 1024, 0.000645
File2.in, 1024, 0.000674
File2.in, 1024, 0.000746
File2.in, 1024, 0.000653
File2.in, 1024, 0.000634
File3.in, 1048576, 0.664250
File3.in, 1048576, 0.658118
File3.in, 1048576, 0.654741
File3.in, 1048576, 0.653506
File3.in, 1048576, 0.664399
File4.in, 1073741824, 679.693726
File4.in, 1073741824, 676.721497
File4.in, 1073741824, 701.355469
File4.in, 1073741824, 673.287109
File4.in, 1073741824, 674.099915
